id	data_type	total_bytes	total_duration	total_participants
ds004621	task-eeg	83086829282	138311.683	42
ds004625	task-eeg	67069082603	54245.036526815704	32
ds004626	task-eeg	21336333416	76492.783	52
ds004635	task-eeg	27971369064	108550.1135464761	48
ds004657	task-eeg	46237252272	84400.0509033204	24
ds004660	task-eeg	7782400102	43577.3076171876	21
ds004706	task-eeg	1426103741239	1659001.6635742188	34
ds004745	task-eeg	213614013	5086.905	5
ds004752	task-eeg	2145261211	26824.0	15
ds004771	task-eeg	1461936778	38025.51953125	61
ds004784	task-eeg	1061883985	1853.0703125	1
ds004785	task-eeg	368221238	3212.5	17
ds004796	task-eeg	81462785132	148993.311	79
ds004802	task-eeg	10809930558	65620.076	38
ds004816	task-eeg	8860010580	17673.46625	18
ds004817	task-eeg	9212606971	13006.091	17
ds004841	task-eeg	7846905204	21162.55859375	20
ds004842	task-eeg	5589024926	17241.875	14
ds004843	task-eeg	8229184793	17030.515625	14
ds004844	task-eeg	23976101546	68359.6845703125	17
ds004849	task-eeg	83044427	1912.470703125	1
ds004850	task-eeg	83044427	1912.470703125	1
ds004851	task-eeg	60057549275	59502.00368595493	66
ds004852	task-eeg	83044427	1912.470703125	1
ds004853	task-eeg	83044427	1912.470703125	1
ds004854	task-eeg	83044427	1912.470703125	1
ds004855	task-eeg	83044427	1912.470703125	1
ds004860	task-eeg	4065627469	58711.057	31
ds004883	task-eeg	131858844075	1012116.2484274032	172
ds004917	task-eeg	33595426615	49391.751	24
ds004942	task-eeg	26899929106	100749.0	62
ds004951	task-eeg	23627346244	82821.12400000001	11
ds004952	task-eeg	222393743501	37933.307	10
ds004980	task-eeg	16989512625	130881.87526591509	17
ds004995	task-eeg	29637640786	14138.6093320474	20
ds005021	task-eeg	51007312738	166892.5548828125	36
ds005034	task-eeg	65885312460	124067.478513639	25
ds005048	task-eeg	373186641	18555.0	35
ds005089	task-eeg	73021309616	244681.96600000001	36
ds005095	task-eeg	15336156530	59115.015999999996	48
ds005106	task-eeg	1331384970	22515.854	42
ds005114	task-eeg	59996226666	446529.944	91
ds005121	task-eeg	9711087106	89518.876953125	34
ds005131	task-eeg	23992946022	185963.338	58
ds005207	task-eeg	30627439106	1549680.0	20
ds005273	task-eeg	47440248845	202175.05000000002	32
ds005274	task-eeg	75399361	6265.5999999999985	22
ds005296	task-eeg	9153581604	133527.84	62
ds005305	task-eeg	6850510436	46128.3728027344	165
ds005307	task-eeg	19411382581	351.7991	7
ds005342	task-eeg	2181586766	2060.0	32
ds005363	task-eeg	19011093350	154770.26700000002	43
ds005383	task-eeg	375547740	28409.315000000002	30
ds005385	task-eeg	79529250150	7071178.973	608
ds005397	task-eeg	12872399038	98787.42802298957	26
ds005403	task-eeg	127189596573	46157.566399999996	32
ds005406	task-eeg	14241899446	55322.774	29
ds005410	task-eeg	21213472055	191827.163	81
